Designator,Mid X,Mid Y,Layer,Rotation
C1,30.48,12.32,Top,270.0
C2,24.13, 1.78,Top,0.0
C3,12.83, 1.91,Top,180.0
C4,11.56,16.51,Top,180.0
C5,15.62,15.88,Top,0.0
C6,27.81,11.05,Top,270.0
C7,39.62,12.45,Top,270.0
C8,20.07, 1.78,Top,180.0
C9, 6.10,11.56,Top,90.0
C10,15.62,18.03,Top,0.0
C11,32.00, 8.26,Top,180.0
J2, 5.08, 5.08,Top,270.0
J3, 0.81, 9.06,Top,270.0
R1,27.81,14.48,Top,180.0
R2, 8.64, 1.91,Top,180.0
R3, 7.87, 6.60,Top,90.0
R4,37.21, 7.62,Top,0.0
R5,37.21, 5.59,Top,0.0
R6,37.68,16.38,Top,180.0
R7,37.21, 3.56,Top,0.0
R8,37.21, 1.52,Top,0.0
U1,17.78, 8.89,Top,270.0
U2,35.18,12.32,Top,0.0
U3,30.86, 4.19,Top,0.0
Y1,26.67,18.29,Top,0.0
